1,19.0495,18.9905,19.02
2,19.1305,19.067,19.09875
3,19.3785,19.277,19.32775
4,19.42,19.3,19.36
5,19.4825,19.298,19.39025
6,19.237,19.183,19.21
7,19.262,19.1935,19.22775
8,19.2545,19.166,19.21025
9,19.2055,19.137,19.17125
10,19.1075,19.069,19.08825
11,19,18.9155,18.95775
12,18.955,18.8945,18.92475
13,18.854,18.8125,18.83325
14,18.8765,18.8155,18.846
15,18.795,18.749,18.772
16,18.885,18.8085,18.84675
17,18.988,18.8785,18.93325
18,18.874,18.813,18.8435
19,18.8645,18.815,18.83975
20,18.985,18.93,18.9575
21,19.0835,18.983,19.03325
22,19.152,19.024,19.088
23,18.9585,18.9075,18.933
24,19.039,18.9785,19.00875
25,19.045,18.9385,18.99175
26,19.141,19.0555,19.09825
27,19.04,18.9525,18.99625
28,19.02,18.959,18.9895
29,19.0845,19.0295,19.057
30,19.1135,19.048,19.08075
31,19.319,19.145,19.232
32,19.19,19.0495,19.11975
33,19.2505,19.1515,19.201
34,19.16,19.108,19.134
35,19.224,19.0155,19.11975
36,19.135,19.0545,19.09475
37,19.18,19.094,19.137
38,19.1245,19.0635,19.094
39,19.079,19.0075,19.04325
40,19.01,18.954,18.982
41,19.088,18.9815,19.03475
42,19.0985,19.0435,19.071
43,19.077,19.0365,19.05675
44,19.2045,19.0995,19.152
45,19.289,19.135,19.212
46,19.124,19.04,19.082
47,19.75,19.58,19.665
48,19.836,19.7035,19.76975
49,19.6475,19.5315,19.5895
50,19.6245,19.47,19.54725
51,19.77,19.686,19.728
52,19.6905,19.557,19.62375
53,19.2595,19.1565,19.208
54,19.155,19.0895,19.12225
55,19.2,19.1155,19.15775
56,19.1875,9.16,14.17375
57,19.168,19.1175,19.14275
58,19.214,19.157,19.1855
59,19.18,19.05,19.115
60,19.208,19.071,19.1395
61,19.032,18.9415,18.98675
62,19.1425,19.025,19.08375
63,19.222,19.1545,19.18825
64,19.279,19.1775,19.22825
65,19.189,19.125,19.157
66,19.189,19.1325,19.16075
67,19.236,19.1585,19.19725
68,19.135,19.0385,19.08675
69,19.0945,19.0545,19.0745
70,19.0795,19.017,19.04825
71,19.015,18.9845,18.99975
72,19.08,19.001,19.0405
73,18.9385,18.8675,18.903
74,19.3685,18.883,19.12575
75,19.285,19.1695,19.22725
76,19.1635,19.076,19.11975
77,19.065,18.9975,19.03125
78,18.999,18.9575,18.97825
79,19.1185,19.035,19.07675
80,19.053,18.9975,19.02525
81,19.0385,18.9645,19.0015
82,19.05,18.9875,19.01875
83,19.087,19.05,19.0685
84,19.177,19.115,19.146
85,19.103,19.0565,19.07975
86,19.099,19.025,19.062
87,19.108,19.0295,19.06875
88,19.129,19.06,19.0945
89,19.0925,19.054,19.07325
90,19.037,18.951,18.994
